name,role,rows,hours,dur_mean,dur_median,text_pct,golden_pct,speakers,crowd,podcast,emotions
crowd_train,source,4211,5.636525121527778,4.818686876632629,4.58,81.47708382806934,18.522916171930657,878,4211,0,"{'angry': 853, 'neutral': 2156, 'other': 55, 'positive': 714, 'sad': 433}"
crowd_test,source,13859,18.26647189236111,4.7448804973302545,4.5275,100.0,1.204993145248575,190,13859,0,"{'neutral': 8980, 'sad': 2157, 'angry': 1338, 'positive': 1216, 'other': 168}"
podcast_train,source,4754,4.309077934027778,3.263079630311317,3.2,0.0,20.109381573411863,2042,0,4754,"{'neutral': 4074, 'sad': 168, 'angry': 126, 'positive': 361, 'other': 25}"
podcast_test,source,10662,9.452227135416667,3.1915229494935287,3.100125,0.0,0.9472894391296192,637,0,10662,"{'positive': 701, 'neutral': 9452, 'other': 27, 'angry': 297, 'sad': 185}"
combine_balanced_train,balanced,4205,5.117125434027778,4.3808921670630205,4.1791875,75.52913198573127,3.0677764565992867,1929,3234,971,"{'neutral': 1479, 'sad': 1104, 'positive': 857, 'angry': 765}"
combine_balanced_test,balanced,9164,11.035265555555554,4.335110868616326,4.2,69.75120034919249,1.5604539502400698,679,6392,2772,"{'angry': 1635, 'sad': 2342, 'neutral': 3270, 'positive': 1917}"
combine_balanced_train_small,small,26983,32.887684774305555,4.387787317477671,4.2,74.52840677463588,2.6053441055479376,4257,20474,6509,"{'positive': 5823, 'neutral': 9700, 'sad': 6610, 'angry': 4850}"
combine_balanced_test_small,small,2749,3.2889360069444447,4.307082439068752,4.18,67.77009821753364,1.5278283012004366,500,1863,886,"{'sad': 703, 'neutral': 981, 'angry': 490, 'positive': 575}"
resd_train,resd,916,1.533494767298123,6.026835329992623,4.9719606717687075,100.0,0.0,0,0,0,"{'positive': 309, 'angry': 204, 'neutral': 183, 'sad': 220}"
resd_test,resd,224,0.3756321608875032,6.036945442834872,5.15384375,100.0,0.0,0,0,0,"{'neutral': 49, 'sad': 56, 'positive': 79, 'angry': 40}"
